date,year_tr,month_tr,days,sum_bookings,sum_checkins,avg_booking,avg_checkins,total_instances,FR_instances,total_People,Fr_People
01/04/2016,2016,4,30,427502,321443,14250.06667,10714.76667,31240,2674,737,737
01/05/2016,2016,5,31,466489,401711,15048.03226,12958.41935,34452,2983,856,856
01/06/2016,2016,6,30,497305,460155,16576.83333,15338.5,37270,3391,1113,1113
01/07/2016,2016,7,31,563553,535205,18179.12903,17264.67742,43037,4151,1224,1224
01/08/2016,2016,8,31,566379,633753,18270.29032,20443.64516,47147,4937,1262,1262
01/09/2016,2016,9,30,533162,519899,17772.06667,17329.96667,45715,4038,1276,1276
01/10/2016,2016,10,31,509998,502120,16451.54839,16197.41935,44750,3930,1320,1320
01/11/2016,2016,11,30,405332,354627,13511.06667,11820.9,37922,3225,1222,1222
01/12/2016,2016,12,31,375139,407978,12101.25806,13160.58065,38470,3338,1186,1186
01/01/2017,2017,1,31,590468,324586,19047.35484,10470.51613,43649,3660,1211,1211
01/02/2017,2017,2,28,669031,387059,23893.96429,13823.53571,44270,3759,1326,1326
01/03/2017,2017,3,31,844571,502224,27244.22581,16200.77419,57028,5085,1439,1439
